BAIRRO,TIPO,OCORRENCIA
SANTO ANTÔNIO,MOTOCICLETA,COLISÃO
SANTO AMARO,MOTOCICLETA,COLISÃO
BOA VISTA,MOTOCICLETA,COLISÃO
FUNDÃO,MOTOCICLETA,COLISÃO
CAMPO GRANDE,MOTOCICLETA,COLISÃO
AFOGADOS,MOTOCICLETA,COLISÃO
SAN MARTIN,MOTOCICLETA,COLISÃO
ENCRUZILHADA,MOTOCICLETA,COLISÃO
ARRUDA,MOTOCICLETA,COLISÃO
ILHA DO RETIRO,MOTOCICLETA,COLISÃO
BOA VISTA,MOTOCICLETA,COLISÃO
ALTO JOSÉ BONIFÁCIO,MOTOCICLETA,ATROPELAMENTO
LINHA DO TIRO,MOTOCICLETA,COLISÃO
PINA,MOTOCICLETA,COLISÃO
SÃO JOSÉ,MOTOCICLETA,COLISÃO
BRASÍLIA TEIMOSA,MOTOCICLETA,COLISÃO
VÁRZEA,MOTOCICLETA,COLISÃO
MADALENA,MOTOCICLETA,COLISÃO
IMBIRIBEIRA,MOTOCICLETA,COLISÃO
ENCRUZILHADA,MOTOCICLETA,COLISÃO
ESTÂNCIA,MOTOCICLETA,COLISÃO
MADALENA,MOTOCICLETA,COLISÃO
DERBY,MOTOCICLETA,COLISÃO
DOIS UNIDOS,MOTOCICLETA,COLISÃO
BOA VIAGEM,MOTOCICLETA,COLISÃO
PINA,MOTOCICLETA,COLISÃO
BAIRRO DO RECIFE,MOTOCICLETA,COLISÃO
MADALENA,MOTOCICLETA,COLISÃO
AFOGADOS,MOTOCICLETA,COLISÃO
JARDIM SÃO PAULO,MOTOCICLETA,COLISÃO
BOA VIAGEM,MOTOCICLETA,COLISÃO
ESTÂNCIA,MOTOCICLETA,COLISÃO
CAMPO GRANDE,MOTOCICLETA,COLISÃO
SANTO AMARO,MOTOCICLETA,COLISÃO
IBURA,MOTOCICLETA,COLISÃO
SANTO AMARO,MOTOCICLETA,ATROPELAMENTO
SANTO AMARO,MOTOCICLETA,COLISÃO
BARRO,MOTOCICLETA,COLISÃO
GRAÇAS,MOTOCICLETA,COLISÃO
ARRUDA,MOTOCICLETA,COLISÃO
SÃO JOSÉ,MOTOCICLETA,COLISÃO
SÃO JOSÉ,MOTOCICLETA,COLISÃO
CIDADE UNIVERSITÁRIA,MOTOCICLETA,COLISÃO
IPUTINGA,MOTOCICLETA,COLISÃO
CORDEIRO,MOTOCICLETA,COLISÃO
PARNAMIRIM,MOTOCICLETA,COLISÃO
CASA AMARELA,MOTOCICLETA,COLISÃO
CORDEIRO,MOTOCICLETA,COLISÃO
PORTO DA MADEIRA,MOTOCICLETA,COLISÃO
IMBIRIBEIRA,MOTOCICLETA,COLISÃO
SANTO AMARO,MOTOCICLETA,COLISÃO
TORRE,MOTOCICLETA,COLISÃO
TEJIPIÓ,MOTOCICLETA,COLISÃO
TEJIPIÓ,MOTOCICLETA,COLISÃO
SANTO AMARO,MOTOCICLETA,COLISÃO
TORREÃO,MOTOCICLETA,COLISÃO
CASA FORTE,MOTOCICLETA,COLISÃO
IPSEP,MOTOCICLETA,COLISÃO
BEBERIBE,MOTOCICLETA,COLISÃO
IBURA,MOTOCICLETA,COLISÃO
PRADO,MOTOCICLETA,COLISÃO
ESTÂNCIA,MOTOCICLETA,COLISÃO
TORRE,MOTOCICLETA,COLISÃO
HIPÓDROMO,MOTOCICLETA,COLISÃO
COELHOS,MOTOCICLETA,COLISÃO
BARRO,MOTOCICLETA,COLISÃO
JARDIM SÃO PAULO,MOTOCICLETA,COLISÃO
SÃO JOSÉ,MOTOCICLETA,COLISÃO
BEBERIBE,MOTOCICLETA,COLISÃO
BOA VIAGEM,MOTOCICLETA,COLISÃO
PARNAMIRIM,MOTOCICLETA,COLISÃO
BOA VIAGEM,MOTOCICLETA,COLISÃO
SANTO AMARO,MOTOCICLETA,COLISÃO
BONGI,MOTOCICLETA,COLISÃO
BOA VISTA,MOTOCICLETA,COLISÃO
BOA VIAGEM,MOTOCICLETA,COLISÃO
BOA VISTA,MOTOCICLETA,COLISÃO
TORRE,MOTOCICLETA,COLISÃO
IBURA,MOTOCICLETA,COLISÃO
IPSEP,MOTOCICLETA,COLISÃO
SANTO AMARO,MOTOCICLETA,COLISÃO
BEBERIBE,MOTOCICLETA,COLISÃO
CORDEIRO,MOTOCICLETA,COLISÃO
CAMPO GRANDE,MOTOCICLETA,COLISÃO
BOA VIAGEM,MOTOCICLETA,COLISÃO
AFOGADOS,MOTOCICLETA,COLISÃO
MADALENA,MOTOCICLETA,COLISÃO
CURADO,MOTOCICLETA,COLISÃO
IBURA,MOTOCICLETA,COLISÃO
AFOGADOS,MOTOCICLETA,COLISÃO
JORDÃO,MOTOCICLETA,COLISÃO
TORRE,MOTOCICLETA,COLISÃO
AREIAS,MOTOCICLETA,COLISÃO
ENCRUZILHADA,MOTOCICLETA,COLISÃO
CASA FORTE,MOTOCICLETA,COLISÃO
VASCO DA GAMA,MOTOCICLETA,COLISÃO
IBURA,MOTOCICLETA,COLISÃO
TEJIPIÓ,MOTOCICLETA,COLISÃO
DERBY,MOTOCICLETA,COLISÃO
VÁRZEA,MOTOCICLETA,COLISÃO
TOTÓ,MOTOCICLETA,COLISÃO
SANTO AMARO,MOTOCICLETA,COLISÃO
DERBY,OUTROS,COLISÃO
IMBIRIBEIRA,OUTROS,COLISÃO
IMBIRIBEIRA,OUTROS,COLISÃO
SANTO AMARO,OUTROS,COLISÃO
DOIS UNIDOS,OUTROS,COLISÃO
MACAXEIRA,OUTROS,ATROPELAMENTO
BOA VISTA,PEDESTRE,ATROPELAMENTO
BOA VISTA,PEDESTRE,ATROPELAMENTO
CABANGA,PEDESTRE,ATROPELAMENTO
CAXANGÁ,PEDESTRE,ATROPELAMENTO
CAXANGÁ,PEDESTRE,ATROPELAMENTO
AFOGADOS,PEDESTRE,ATROPELAMENTO
ÁGUA FRIA,PEDESTRE,ATROPELAMENTO
ROSARINHO,PEDESTRE,ATROPELAMENTO
ENCRUZILHADA,PEDESTRE,ATROPELAMENTO
CAMPO GRANDE,PEDESTRE,ATROPELAMENTO
IMBIRIBEIRA,PEDESTRE,ATROPELAMENTO
JORDÃO,PEDESTRE,COLISÃO
IBURA,PEDESTRE,ATROPELAMENTO
PRADO,PEDESTRE,COLISÃO
BEBERIBE,AUTOMÓVEL,COLISÃO
IPSEP,AUTOMÓVEL,COLISÃO
MUSTARDINHA,AUTOMÓVEL,ATROPELAMENTO
ESPINHEIRO,AUTOMÓVEL,COLISÃO
CURADO,AUTOMÓVEL,COLISÃO
BOA VIAGEM,AUTOMÓVEL,COLISÃO
BOA VIAGEM,AUTOMÓVEL,COLISÃO
MADALENA,AUTOMÓVEL,COLISÃO
BOA VIAGEM,AUTOMÓVEL,COLISÃO
BOA VIAGEM,AUTOMÓVEL,COLISÃO
IBURA,AUTOMÓVEL,COLISÃO
LINHA DO TIRO,AUTOMÓVEL,COLISÃO
BOA VISTA,AUTOMÓVEL,COLISÃO
BOA VIAGEM,AUTOMÓVEL,COLISÃO
CASA FORTE,AUTOMÓVEL,COLISÃO
PORTO DA MADEIRA,AUTOMÓVEL,COLISÃO
IMBIRIBEIRA,AUTOMÓVEL,ATROPELAMENTO
ENGENHO DO MEIO,AUTOMÓVEL,COLISÃO
SÃO JOSÉ,AUTOMÓVEL,COLISÃO
TOTÓ,AUTOMÓVEL,ATROPELAMENTO
BAIRRO DO RECIFE,CICLISTA,COLISÃO
ÁGUA FRIA,CICLISTA,COLISÃO
CASA FORTE,CICLISTA,COLISÃO
JARDIM SÃO PAULO,CICLISTA,COLISÃO
AFOGADOS,CICLISTA,COLISÃO
BOA VISTA,CICLISTA,COLISÃO
SAN MARTIN,CICLISTA,COLISÃO
JOANA BEZERRA,CICLISTA,COLISÃO
